timestamp,equipment_id,metric,value,unit
2026-01-01T08:00:00Z,P-102,vibration,2.1,mm/s
2026-01-01T08:00:00Z,P-102,temperature,68.0,C
2026-01-03T04:38:24Z,P-102,vibration,2.11,mm/s
2026-01-03T04:38:24Z,P-102,temperature,68.1,C
2026-01-05T01:16:48Z,P-102,vibration,2.13,mm/s
2026-01-05T01:16:48Z,P-102,temperature,68.1,C
2026-01-06T21:55:12Z,P-102,vibration,2.14,mm/s
2026-01-06T21:55:12Z,P-102,temperature,68.2,C
2026-01-08T18:33:36Z,P-102,vibration,2.15,mm/s
2026-01-08T18:33:36Z,P-102,temperature,68.2,C
2026-01-10T15:12:00Z,P-102,vibration,2.17,mm/s
2026-01-10T15:12:00Z,P-102,temperature,68.3,C
2026-01-12T11:50:24Z,P-102,vibration,2.18,mm/s
2026-01-12T11:50:24Z,P-102,temperature,68.3,C
2026-01-14T08:28:48Z,P-102,vibration,2.19,mm/s
2026-01-14T08:28:48Z,P-102,temperature,68.4,C
2026-01-16T05:07:12Z,P-102,vibration,2.21,mm/s
2026-01-16T05:07:12Z,P-102,temperature,68.5,C
2026-01-18T01:45:36Z,P-102,vibration,2.22,mm/s
2026-01-18T01:45:36Z,P-102,temperature,68.5,C
2026-01-19T22:24:00Z,P-102,vibration,2.23,mm/s
2026-01-19T22:24:00Z,P-102,temperature,68.6,C
2026-01-21T19:02:24Z,P-102,vibration,2.25,mm/s
2026-01-21T19:02:24Z,P-102,temperature,68.6,C
2026-01-23T15:40:48Z,P-102,vibration,2.26,mm/s
2026-01-23T15:40:48Z,P-102,temperature,68.7,C
2026-01-25T12:19:12Z,P-102,vibration,2.27,mm/s
2026-01-25T12:19:12Z,P-102,temperature,68.7,C
2026-01-27T08:57:36Z,P-102,vibration,2.28,mm/s
2026-01-27T08:57:36Z,P-102,temperature,68.8,C
2026-01-29T05:36:00Z,P-102,vibration,2.3,mm/s
2026-01-29T05:36:00Z,P-102,temperature,68.8,C
2026-01-31T02:14:24Z,P-102,vibration,2.31,mm/s
2026-01-31T02:14:24Z,P-102,temperature,68.9,C
2026-02-01T22:52:48Z,P-102,vibration,2.32,mm/s
2026-02-01T22:52:48Z,P-102,temperature,69.0,C
2026-02-03T19:31:12Z,P-102,vibration,2.34,mm/s
